14.60	0.04430	0.05890	0.05440	0.03030	0.11790	
14.80	0.05350	0.07020	0.00000	0.03910	0.13790	
15.00	0.06260	0.08120	0.00000	0.04850	0.15680	
15.10	0.06720	0.08670	0.00000	0.05330	0.16600	
15.20	0.07180	0.09210	0.08700	0.05820	0.17490	
15.40	0.08090	0.10270	0.00000	0.06820	0.19210	
15.60	0.09000	0.11310	0.10800	0.07840	0.20850	
15.90	0.10360	0.12840	0.00000	0.09410	0.23180	
16.10	0.11260	0.13840	0.13700	0.10470	0.24650	
16.40	0.12600	0.15290	0.00000	0.12090	0.26740	
16.60	0.13490	0.16240	0.00000	0.13170	0.28070	
16.90	0.14800	0.17630	0.00000	0.14790	0.29960	
17.10	0.15670	0.18530	0.17300	0.15870	0.31160	
17.40	0.16950	0.19850	0.00000	0.17490	0.32890	
17.60	0.17790	0.20700	0.00000	0.18560	0.33990	
17.90	0.19040	0.21960	0.00000	0.20160	0.35570	
18.10	0.19850	0.22770	0.22200	0.21210	0.36590	
18.40	0.21060	0.23960	0.00000	0.22780	0.38050	
18.70	0.22250	0.25120	0.25000	0.24320	0.39440	
19.00	0.23410	0.26240	0.00000	0.25840	0.40770	
19.30	0.24540	0.27330	0.00000	0.27330	0.42050	
19.60	0.25650	0.28390	0.00000	0.28800	0.43270	
20.00	0.27100	0.29750	0.29300	0.30710	0.44820	
20.40	0.28500	0.31050	0.00000	0.32570	0.46290	
20.90	0.30190	0.32610	0.33400	0.34820	0.48030	
21.40	0.31820	0.34100	0.00000	0.36980	0.49650	
22.00	0.33690	0.35780	0.36100	0.39470	0.51480	
22.60	0.35470	0.37370	0.00000	0.41840	0.53190	
23.30	0.37440	0.39100	0.40100	0.44450	0.55030	
24.00	0.39300	0.40720	0.00000	0.46910	0.56730	
24.80	0.41290	0.42440	0.43000	0.49530	0.58520	
25.60	0.43150	0.44030	0.00000	0.51970	0.60160	
26.60	0.45300	0.45840	0.45700	0.54760	0.62020	
27.30	0.46700	0.47020	0.00000	0.56570	0.63210	
28.30	0.48560	0.48550	0.00000	0.58940	0.64760	
29.30	0.50260	0.49950	0.00000	0.61090	0.66150	
30.50	0.52120	0.51450	0.51000	0.63400	0.67630	
31.60	0.53650	0.52690	0.00000	0.65270	0.68830	
32.80	0.55170	0.53890	0.00000	0.67090	0.69970	
34.10	0.56630	0.55030	0.00000	0.68800	0.71050	
35.40	0.57940	0.56040	0.55900	0.70290	0.71970	
36.70	0.59090	0.56920	0.00000	0.71570	0.72750	
38.10	0.60200	0.57740	0.00000	0.72740	0.73450	
39.60	0.61220	0.58490	0.00000	0.73790	0.74070	
41.20	0.62170	0.59170	0.58900	0.74700	0.74580	
42.90	0.63010	0.59760	0.00000	0.75460	0.74990	
44.70	0.63760	0.60260	0.00000	0.76070	0.75280	
46.60	0.64400	0.60660	0.00000	0.76520	0.75470	
48.60	0.64940	0.60970	0.62300	0.76810	0.75540	
50.70	0.65360	0.61180	0.00000	0.76950	0.75490	
52.90	0.65680	0.61310	0.00000	0.76940	0.75340	
55.20	0.65900	0.61340	0.00000	0.76790	0.75090	
57.60	0.66010	0.61290	0.00000	0.76510	0.74740	
60.10	0.66030	0.61150	0.00000	0.76110	0.74300	
63.00	0.65940	0.60910	0.61400	0.75530	0.73710	
66.00	0.65750	0.60580	0.00000	0.74840	0.73020	
69.00	0.65470	0.60190	0.00000	0.74070	0.72290	
72.10	0.65110	0.59740	0.00000	0.73210	0.71490	
75.50	0.64660	0.59190	0.59600	0.72230	0.70580	
79.50	0.64050	0.58500	0.00000	0.71020	0.69480	
84.00	0.63310	0.57680	0.58400	0.69640	0.68220	
89.00	0.62420	0.56730	0.00000	0.68090	0.66810	
94.00	0.61500	0.55760	0.55900	0.66550	0.65420	
102.00	0.59980	0.54210	0.00000	0.64140	0.63240	
103.00	0.59790	0.54020	0.54200	0.63850	0.62980	
113.00	0.57890	0.52100	0.00000	0.60990	0.60380	
121.00	0.56390	0.50620	0.50700	0.58820	0.58410	
130.20	0.54710	0.48980	0.00000	0.56490	0.56280	
138.20	0.53310	0.47610	0.48300	0.54580	0.54520	
148.20	0.51620	0.45990	0.00000	0.52350	0.52470	
158.20	0.50030	0.44460	0.45500	0.50280	0.50550	
168.20	0.48510	0.43010	0.00000	0.48360	0.48760	
178.20	0.47080	0.41650	0.42800	0.46570	0.47090	
188.20	0.45720	0.40370	0.00000	0.44910	0.45530	
198.20	0.44440	0.39160	0.39800	0.43370	0.44070	
213.20	0.42650	0.37480	0.00000	0.41240	0.42040	
228.20	0.40990	0.35930	0.36100	0.39310	0.40200	
248.20	0.38970	0.34050	0.00000	0.37000	0.37980	
268.20	0.37150	0.32360	0.33100	0.34960	0.36010	
288.00	0.35510	0.30850	0.00000	0.33150	0.34250	
317.90	0.33300	0.28830	0.28400	0.30760	0.31910	
347.90	0.31360	0.27050	0.00000	0.28690	0.29870	
387.90	0.29120	0.25010	0.25000	0.26350	0.27540	
427.90	0.27190	0.23270	0.00000	0.24370	0.25560	
467.90	0.25510	0.21760	0.21500	0.22680	0.23860	
508.20	0.24030	0.20430	0.00000	0.21210	0.22370	
548.20	0.22740	0.19270	0.18600	0.19930	0.21070	
598.20	0.21310	0.18000	0.00000	0.18550	0.19650	
668.20	0.19610	0.16490	0.15900	0.16920	0.17980	
700.00	0.18930	0.15890	0.00000	0.16270	0.17310	
748.20	0.17990	0.15060	0.14700	0.15390	0.16390	
818.20	0.16790	0.14010	0.00000	0.14270	0.15230	
898.20	0.15610	0.12980	0.12600	0.13180	0.14090	
998.20	0.14360	0.11900	0.00000	0.12040	0.12900	
1100.00	0.13290	0.10970	0.10500	0.11080	0.11880	
1200.00	0.12400	0.10200	0.00000	0.10280	0.11040	
1300.00	0.11620	0.09530	0.09140	0.09590	0.10310	
1506.70	0.10310	0.08410	0.00000	0.08440	0.09080	
1662.70	0.09510	0.07730	0.07210	0.07740	0.08340	
1848.10	0.08710	0.07050	0.00000	0.07060	0.07610	
1998.10	0.08170	0.06590	0.06310	0.06590	0.07110	
2198.10	0.07540	0.06070	0.00000	0.06060	0.06540	
2448.10	0.06890	0.05520	0.05250	0.05510	0.05940	
2698.10	0.06350	0.05070	0.00000	0.05050	0.05460	
2998.10	0.05810	0.04620	0.04370	0.04600	0.04970	
3298.10	0.05350	0.04250	0.00000	0.04230	0.04560	
3648.10	0.04910	0.03890	0.03700	0.03870	0.04170	
3998.10	0.04540	0.03580	0.03390	0.03560	0.03840	
